gene	recessive	dominant	adult_onset
HOXB3	0	0	0
HOXB2	0	0	0
HOXB1	1	0	0
HOXC8	0	0	0
HOXC9	0	0	0
HOXC6	0	0	0
HOXC5	0	0	0
HOXC4	0	0	0
HOXC12	0	0	0
HOXC13	1	0	0
HOXD3	0	0	0
HOXD4	0	0	0
HOXD9	0	0	0
MSX1	1	1	0
HOXD10	0	1	0
HOXD8	0	0	0
HOXD11	0	0	0
HOXD1	0	0	0
HOXD12	0	0	0
HOXD13	0	1	0
EVX2	0	0	0
HMX1	1	0	0
VSX2	1	0	0
MNX1	0	1	0
HLX	0	1	0
EVX1	0	0	0
HLA-E	0	0	0
RASSF7	0	0	0
GNL1	0	0	0
HRES1	0	0	0
CD9	0	0	0
HIVEP2	0	1	0
CCNT1	0	0	0
FOXN2	0	0	0
HLA-F	0	0	0
MEA1	0	0	0
HADHB	1	0	1
HTOR	0	0	0
ACSM3	0	0	0
HTC1	0	1	0
ICAM2	0	0	0
ICAM3	0	0	0
ITIH2	0	0	0
ITIH3	0	0	0
IL7	0	0	0
IL7R	1	0	0
IDE	0	0	0
IMPDH1	1	1	0
IMPDH2	0	0	0
IL2RB	0	1	0
IGFBP1	0	0	0
IGFBP2	0	0	0
IGFBP3	0	0	0
IGFBP4	0	0	0
IGFBP5	0	0	0
IGFBP6	0	0	0
INSL3	0	1	0
FCGR3A	1	0	0
FCGR1A	0	0	0
IGLL1	1	0	0
IGKDEL	0	0	0
FCGR2A	1	1	0
HLA-DQA1	1	1	0
IGHA1	0	0	0
IGH	0	0	0
ADAR	1	1	0
CXCR2	0	1	0
CXCR1	1	1	0
CXCL8	0	0	0
IL9	0	0	0
IL10RA	1	0	0
IGHA2	0	0	0
IGH	0	0	0
IGHM	1	0	0
IFIT2	0	0	0
FCAR	0	0	0
IGES	1	0	0
IGH	0	1	0
IGLP1	1	1	0
IGLP2	0	0	0
IGHG1	0	0	0
IGHG2	0	0	0
IGHG3	0	0	0
IGHG4	0	0	0
MS4A2	0	1	0
FCER1G	0	0	0
FCER1A	0	0	0
TCF3	0	1	0
MX1	1	0	0
IGHD	0	0	0
IGHE	0	0	0
RBPJ	0	1	0
IGKV1OR2-108	0	0	0
IGKC	1	0	0
IGLC1	0	0	0
CD79B	1	0	0
INPP1	0	0	0
INPP5B	0	0	0
ITPR1	1	1	1
ITPR3	1	1	1
ITIH1	0	0	0
IGF2R	1	1	0
INHBA	0	0	0
CXCL10	0	0	0
IVL	0	0	0
IGF1R	1	1	0
INHA	0	0	0
INHBB	0	0	0
IDO1	0	1	0
IGF1	1	1	0
SOD1	1	1	1
SOD2	0	0	0
IGF2	1	0	0
IPP	0	0	0
ITPA	1	0	0
ITPKA	0	0	0
ITPKB	0	0	0
IRS1	0	1	1
IFNW1	0	0	0
ITGA6	1	0	0
ITGB4	1	1	1
ITGB6	1	0	0
ITGB7	0	0	0
ITGB5	0	0	0
IFNA2	0	0	0
IBSP	0	0	0
IFNA4	0	0	0
IFNA5	0	0	0
IFNA6	0	0	0
IFNA7	0	0	0
IFNA8	0	0	0
IFNGR2	1	0	0
IFNG	1	1	1
ISG15	1	0	0
IFI6	0	0	0
IFNR	0	0	0
IRF9	0	0	0
IRF1	1	0	0
IRF2	0	0	0
IFNA10	0	0	0
IFNA13	0	0	0
IFNA14	0	0	0
IFNA16	0	0	0
IREB2	0	0	0
IFNA17	0	0	0
IFNA21	0	0	0
IFI16	0	0	0
IL6	1	1	1
ICA1	0	0	0
IFNB1	0	0	0
IDH2	0	1	0
IFNA1	0	0	0
INSR	1	1	0
INSRR	0	0	0
CASP1	0	1	0
IL1RN	1	1	0
IL2	0	1	0
IL11	0	0	0
IL13	1	1	0
FOXK2	0	0	0
IFIT1	0	0	0
IDH1	1	1	0
IL1B	0	1	0
IL2RA	1	1	0
IL3	1	1	0
IL1A	0	0	0
IL4	0	0	0
IL4R	1	1	0
JCHAIN	0	0	0
JAK1	0	0	0
JAK2	1	1	0
IL1R1	0	0	0
IL1R2	0	0	0
ICAM1	0	1	0
IL5	0	0	0
IL5RA	0	0	0
WNT2	0	0	0
IL6R	0	0	0
MX2	0	0	0
DIO1	0	1	0
KLK1	0	0	0
SERPINA4	0	0	0
IAPP	0	0	0
KLK2	0	0	0
KRT19	0	0	0
KRTAP5-9	0	0	0
KRTAP5-1	0	0	0
